                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5027,                 3.7409,                 1.4165,                 0.0307,                0.21706,                0.11542,                0.08639,                 2.0917,                 3.9182,                 1.1683,             0.00018577,             0.00018577,             0.00018577
                      2,                 2.0572,                 2.2653,                 1.1642,                0.05865,                0.48067,                0.34975,                0.22525,                 2.0337,                 3.4059,                 1.0852,             0.00038201,             0.00038201,             0.00038201
                      3,                 1.8242,                 1.4834,                 1.0919,                 0.1601,                 0.6899,                0.58347,                0.34417,                 1.8664,                 2.8093,                 1.0435,             0.00057429,             0.00057429,             0.00057429
                      4,                 1.6772,                 1.3312,                 1.0528,                0.24974,                0.85361,                0.76513,                0.51218,                 1.8711,                 2.3252,                 1.0166,             0.00076261,             0.00076261,             0.00076261
                      5,                 1.6167,                 1.2744,                 1.0389,                0.74908,                0.80164,                0.84246,                0.56334,                 1.6848,                 1.8792,                 0.9807,             0.00094696,             0.00094696,             0.00094696
                      6,                 1.5699,                 1.2057,                 1.0143,                0.73375,                0.66207,                0.83763,                0.59465,                 1.6785,                  1.585,                0.99089,              0.0011274,              0.0011274,              0.0011274
                      7,                 1.5722,                 1.1631,                 1.0141,                0.69248,                0.75017,                0.75716,                 0.4835,                 1.8492,                 1.4231,                 1.0001,              0.0013038,              0.0013038,              0.0013038
                      8,                 1.5207,                 1.0794,                0.99174,                0.79887,                0.83465,                0.87649,                0.63309,                 1.5301,                 1.0454,                0.95448,                0.00133,                0.00133,                0.00133
                      9,                 1.4518,                 1.0516,                0.99456,                0.79454,                0.80399,                0.88845,                0.66225,                 1.4944,                 0.9929,                0.96151,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4461,                 1.0216,                 0.9888,                0.86344,                0.85814,                0.91112,                 0.6843,                 1.4158,                0.92393,                0.93479,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.4043,                0.98976,                0.97019,                0.85747,                0.83503,                0.90681,                0.64768,                 1.4962,                0.93926,                0.94348,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.3654,                0.97156,                 0.9563,                0.87996,                0.86779,                 0.9247,                0.69875,                 1.3198,                0.88755,                 0.9142,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.4504,                 1.0257,                0.95993,                0.88199,                0.88651,                0.92273,                0.69597,                 1.3856,                0.86529,                0.91931,              0.0012592,              0.0012592,              0.0012592
                     14,                  1.306,                0.91562,                0.96481,                0.89713,                 0.9033,                0.93233,                0.73819,                 1.2419,                0.83032,                0.90508,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.3118,                0.89544,                0.94175,                0.89518,                 0.9038,                0.93399,                 0.7343,                 1.2234,                0.81268,                0.90136,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.2974,                0.84775,                0.94815,                0.91614,                0.90549,                0.94154,                0.74224,                 1.2343,                0.78884,                0.90567,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.3394,                0.92851,                0.94615,                0.88988,                0.89824,                0.93446,                0.70653,                  1.288,                0.81595,                0.90795,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.3089,                0.89367,                0.94042,                0.91715,                 0.9176,                0.94663,                 0.7374,                 1.2403,                0.77716,                0.90634,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.2881,                0.87556,                0.94409,                0.91968,                0.91642,                0.94287,                0.75077,                  1.211,                0.76838,                0.89889,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.2826,                0.86463,                0.93716,                0.92753,                 0.9201,                 0.9482,                0.76284,                 1.1688,                0.72985,                0.88859,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.2491,                0.83679,                0.92961,                0.91817,                0.92446,                0.94072,                0.75453,                 1.1569,                0.73824,                 0.8888,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.3176,                 0.8756,                0.92875,                0.94085,                0.91886,                0.94952,                0.76434,                 1.1308,                0.71526,                0.88415,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.2287,                0.81121,                0.92804,                 0.9338,                0.93065,                0.95131,                0.75079,                 1.1925,                0.73195,                0.88547,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.2117,                0.78227,                0.92226,                0.94982,                0.93494,                0.95546,                 0.7761,                 1.1507,                0.71969,                 0.8879,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.2275,                0.80665,                0.92204,                 0.9409,                0.93597,                 0.9535,                0.77228,                 1.1194,                0.70142,                0.88419,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1527,                0.77244,                0.92599,                0.94409,                0.93143,                0.95892,                 0.7819,                 1.1112,                0.69671,                 0.8813,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.2335,                0.80988,                0.92502,                0.94566,                0.93602,                0.95956,                0.78826,                 1.0918,                0.69136,                0.88205,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.1986,                0.77441,                0.90754,                0.93035,                0.94242,                0.95756,                0.78163,                 1.1276,                0.71034,                0.88167,               0.001047,               0.001047,               0.001047
                     29,                 1.2392,                 0.8124,                0.91264,                0.94744,                0.93717,                0.96441,                0.79651,                 1.0847,                0.68102,                0.87689,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.1776,                0.77639,                0.91457,                0.93881,                0.94136,                0.96457,                0.78396,                 1.0867,                 0.6827,                0.87437,              0.0010187,              0.0010187,              0.0010187
                     31,                  1.181,                0.75938,                0.91202,                0.95333,                0.94307,                0.96622,                0.80286,                 1.0824,                0.65719,                0.87703,              0.0010046,              0.0010046,              0.0010046
