                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1312,                0.72508,                0.92175,                0.94037,                0.92499,                0.95725,                 0.7957,                 1.0889,                0.67557,                0.89108,               0.000948,               0.000948,               0.000948
                     36,                 1.1357,                0.72038,                0.91383,                0.95274,                 0.9108,                0.95723,                0.80422,                 1.0775,                0.64818,                 0.8926,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2027,                0.75573,                0.93074,                0.92839,                 0.9275,                0.95571,                0.78005,                 1.1116,                0.68654,                 0.8909,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.1774,                0.74329,                 0.9208,                0.93419,                0.93429,                0.95914,                0.79231,                 1.0674,                0.64694,                0.89166,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.1852,                0.76259,                0.92534,                0.94012,                0.92921,                0.96032,                0.79644,                 1.0764,                0.65332,                0.88709,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.1482,                0.72762,                 0.9247,                0.92035,                0.90226,                0.95689,                0.78669,                 1.0542,                0.66143,                0.89052,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.1769,                0.74402,                0.91787,                0.91879,                0.93342,                0.95994,                0.80243,                 1.0597,                0.63083,                0.89238,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1746,                0.74077,                 0.9235,                0.93057,                0.92373,                0.95407,                 0.7673,                 1.1151,                0.67043,                0.89326,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.1447,                0.72131,                0.91916,                0.94509,                0.92939,                0.95762,                0.79508,                 1.0457,                0.64421,                0.89165,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1749,                0.73895,                0.92589,                0.91542,                0.94387,                0.96642,                0.81374,                 1.0117,                0.63489,                0.88494,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.1145,                0.70464,                0.92105,                0.92922,                0.93517,                0.96214,                 0.8125,                  1.034,                 0.6347,                0.88283,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1198,                 0.7027,                0.92047,                0.91997,                0.93259,                0.96093,                0.80962,                 1.0274,                0.62611,                0.88238,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.1072,                0.70854,                0.91602,                 0.9151,                0.93989,                0.95917,                0.79778,                 1.0231,                0.64818,                0.87862,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.1106,                0.71312,                0.90634,                0.92515,                 0.9482,                0.96367,                0.81959,                0.98223,                0.60982,                0.87836,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0954,                0.68607,                0.91359,                0.93934,                0.93319,                0.96301,                0.81566,                 1.0283,                0.61843,                0.88303,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.1173,                0.69784,                0.91919,                0.93777,                0.93522,                0.96343,                0.80374,                 1.0419,                0.64157,                0.88009,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0876,                0.69021,                0.91458,                 0.9419,                0.93929,                0.96452,                0.81691,                0.99132,                0.61752,                0.87574,             0.00072164,             0.00072164,             0.00072164
                     52,                   1.07,                0.66782,                0.91343,                0.95612,                0.94025,                 0.9662,                 0.8158,                0.99683,                0.60484,                0.87331,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.1168,                0.68801,                 0.9098,                0.95263,                 0.9489,                0.96769,                0.82067,                0.97125,                0.59824,                0.87417,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0711,                0.66486,                0.89875,                0.95376,                0.94649,                0.96687,                 0.8255,                 0.9665,                0.58671,                0.87381,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0737,                0.66865,                0.90738,                 0.9512,                0.94378,                0.96783,                0.82202,                0.98005,                0.59378,                0.87357,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0755,                0.66701,                0.90072,                0.95388,                0.94539,                0.96609,                0.82493,                0.97958,                 0.5893,                0.87121,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0743,                0.66479,                0.90474,                0.95674,                0.93783,                0.96521,                0.81286,                 1.0032,                  0.598,                0.87482,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0896,                0.66918,                  0.903,                0.94587,                0.94645,                0.96699,                0.81874,                 0.9761,                0.59816,                0.87427,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0795,                0.65928,                0.89628,                0.95545,                0.95031,                0.96754,                0.83201,                0.95364,                0.57671,                0.86999,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0928,                0.66768,                0.90069,                0.95588,                0.94488,                0.96768,                  0.829,                0.95993,                0.58154,                 0.8692,             0.00059432,             0.00059432,             0.00059432
                     61,                  1.126,                0.68924,                0.90959,                0.96445,                0.93378,                0.96845,                0.83198,                0.96599,                0.57695,                0.87073,             0.00058017,             0.00058017,             0.00058017
                     62,                   1.05,                0.64382,                0.90147,                 0.9571,                0.94327,                0.96892,                0.83411,                0.91796,                0.56807,                0.86715,             0.00056603,             0.00056603,             0.00056603
                     63,                  1.046,                0.64441,                0.90467,                0.96116,                0.93717,                0.96943,                 0.8348,                0.93273,                0.56101,                0.86604,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0665,                0.65139,                0.90192,                0.96404,                0.94068,                0.97146,                0.83198,                0.93691,                0.56483,                0.86673,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.0505,                0.64725,                 0.8984,                0.95812,                0.94183,                0.96786,                0.82511,                0.94512,                0.57237,                 0.8688,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.0497,                0.64852,                0.89908,                0.95724,                0.94646,                0.96968,                0.83113,                0.92572,                0.56107,                0.86673,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.0247,                0.62953,                0.90051,                0.96532,                0.94081,                0.97135,                0.83297,                0.93523,                0.56244,                0.86625,             0.00049529,             0.00049529,             0.00049529
                     68,                  1.011,                0.62464,                0.89476,                0.95404,                0.94915,                0.97055,                0.84099,                0.90859,                0.56144,                0.86515,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.0703,                0.66244,                0.89813,                0.96095,                0.95141,                0.97293,                0.84016,                0.91696,                0.57049,                0.86503,               0.000467,               0.000467,               0.000467
                     70,                 1.0445,                0.64307,                0.89071,                0.95539,                0.95201,                0.97061,                0.83135,                0.93894,                0.57191,                0.86682,             0.00045285,             0.00045285,             0.00045285
                     71,                  1.017,                 0.6178,                0.89254,                0.95944,                0.95073,                0.97054,                0.83749,                0.93187,                0.56084,                0.86538,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.0312,                0.63158,                0.89995,                0.96028,                0.95014,                 0.9713,                0.83907,                0.91098,                0.55554,                0.86385,             0.00042456,             0.00042456,             0.00042456
