                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3326,                  1.347,                 1.0773,                0.95256,                0.94194,                0.97171,                0.83178,                0.99793,                0.78656,                0.95504,             0.00047483,             0.00047483,             0.00047483
                      2,                 1.0364,                0.78024,                0.96132,                0.93148,                0.96072,                0.97719,                0.83985,                0.89453,                0.64482,                0.92626,             0.00094175,             0.00094175,             0.00094175
                      3,                0.97361,                0.67661,                0.94433,                0.93133,                0.96054,                0.97827,                 0.8656,                0.85761,                0.60349,                0.92294,              0.0013992,              0.0013992,              0.0013992
                      4,                0.95684,                0.63563,                0.93906,                0.95009,                0.96741,                0.98235,                0.87379,                0.86922,                0.55979,                0.91124,              0.0013866,              0.0013866,              0.0013866
                      5,                0.90771,                0.58264,                0.92628,                0.95423,                0.96734,                0.98313,                0.88227,                0.78276,                0.52478,                0.90127,              0.0013724,              0.0013724,              0.0013724
                      6,                0.87652,                0.55455,                0.91751,                0.95367,                0.96316,                0.98482,                0.89777,                0.77301,                0.52097,                0.89684,              0.0013583,              0.0013583,              0.0013583
                      7,                0.85013,                0.52794,                0.91146,                 0.9555,                0.97247,                0.98623,                0.89501,                0.78274,                0.49344,                 0.8985,              0.0013441,              0.0013441,              0.0013441
                      8,                0.85539,                0.52304,                0.91117,                0.95347,                0.97076,                0.98562,                 0.8963,                0.74363,                0.47488,                0.89054,                0.00133,                0.00133,                0.00133
                      9,                0.81615,                0.49793,                0.90293,                0.94281,                0.97168,                0.98559,                 0.8998,                0.73447,                0.46416,                0.88778,              0.0013158,              0.0013158,              0.0013158
                     10,                0.82419,                0.50092,                0.90501,                0.95608,                0.97229,                0.98592,                0.90176,                0.77627,                0.47595,                0.89756,              0.0013017,              0.0013017,              0.0013017
                     11,                0.80023,                0.48409,                0.89862,                0.95417,                0.97443,                0.98673,                0.91394,                0.71408,                0.44563,                0.88576,              0.0012875,              0.0012875,              0.0012875
                     12,                0.79255,                0.47834,                0.89588,                0.96298,                0.96472,                0.98676,                0.91188,                0.71271,                0.44177,                0.88471,              0.0012734,              0.0012734,              0.0012734
                     13,                0.78125,                0.46502,                0.89311,                0.96741,                0.97129,                0.98705,                0.91411,                0.70016,                0.43469,                0.88095,              0.0012592,              0.0012592,              0.0012592
