                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3114,                 1.3255,                 1.0781,                0.94496,                0.93794,                0.96974,                0.79766,                0.94714,                0.67308,                0.91901,             0.00041602,             0.00041602,             0.00041602
                      2,                0.91954,                0.66576,                0.92594,                0.95119,                 0.9558,                0.97768,                0.79416,                0.88693,                0.58592,                0.90076,             0.00082444,             0.00082444,             0.00082444
                      3,                0.86783,                0.57614,                0.90909,                0.96578,                0.96665,                0.98208,                0.85953,                0.70993,                0.48661,                0.87128,              0.0012246,              0.0012246,              0.0012246
                      4,                0.82337,                0.52054,                0.90035,                0.96741,                0.96516,                0.98299,                0.87476,                0.68023,                0.46182,                 0.8649,              0.0012129,              0.0012129,              0.0012129
                      5,                0.77574,                0.48475,                0.88826,                0.96512,                0.97098,                0.98355,                0.88983,                0.63768,                0.43846,                0.85442,              0.0012005,              0.0012005,              0.0012005
                      6,                 0.7469,                0.45897,                0.88202,                0.95581,                0.96718,                0.98353,                  0.881,                0.63187,                0.42241,                0.85406,              0.0011881,              0.0011881,              0.0011881
                      7,                0.73577,                0.45033,                0.88009,                0.97407,                0.97121,                0.98525,                0.88967,                 0.6218,                0.41514,                0.84825,              0.0011757,              0.0011757,              0.0011757
                      8,                0.72364,                0.43637,                0.87773,                0.97047,                0.96797,                0.98465,                0.89274,                 0.6116,                0.40847,                0.84894,              0.0011634,              0.0011634,              0.0011634
                      9,                 0.7053,                0.42814,                0.87363,                0.95966,                0.97297,                0.98598,                0.89718,                0.58283,                0.39549,                0.84291,               0.001151,               0.001151,               0.001151
                     10,                0.69271,                0.41781,                0.87039,                0.96871,                0.97365,                0.98731,                0.90152,                0.60661,                0.39222,                0.84664,              0.0011386,              0.0011386,              0.0011386
                     11,                0.68011,                0.40834,                0.86754,                0.96756,                0.97098,                0.98748,                0.90626,                 0.5723,                0.38294,                0.84124,              0.0011263,              0.0011263,              0.0011263
                     12,                0.67435,                0.40465,                0.86697,                0.97202,                0.97303,                0.98737,                0.90574,                0.56281,                0.37752,                0.83913,              0.0011139,              0.0011139,              0.0011139
