                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2849,                 1.2878,                 1.0552,                0.92401,                0.93957,                0.97299,                0.81956,                0.93121,                0.67754,                0.91705,             0.00047559,             0.00047559,             0.00047559
                      2,                0.98145,                0.67833,                0.93956,                0.95492,                0.95134,                0.97842,                0.83314,                0.86587,                0.54647,                0.89474,              0.0009425,              0.0009425,              0.0009425
                      3,                0.93083,                0.58784,                0.92672,                0.94957,                0.96526,                0.98316,                0.86758,                  0.788,                0.49877,                0.88263,                 0.0014,                 0.0014,                 0.0014
                      4,                0.87619,                0.53711,                0.91437,                0.95601,                0.96632,                0.98296,                0.86058,                0.77263,                0.48708,                0.87687,              0.0013866,              0.0013866,              0.0013866
                      5,                0.84817,                0.50222,                0.90746,                0.94743,                0.97099,                0.98345,                0.88025,                 0.7295,                  0.459,                0.87521,              0.0013724,              0.0013724,              0.0013724
                      6,                0.82186,                0.48585,                0.90084,                0.95752,                0.96859,                0.98538,                 0.8826,                0.71437,                0.45069,                 0.8635,              0.0013583,              0.0013583,              0.0013583
                      7,                0.80455,                0.47329,                0.89789,                0.95702,                0.97278,                0.98605,                0.88761,                0.70357,                0.42802,                0.85967,              0.0013441,              0.0013441,              0.0013441
                      8,                0.78403,                0.45686,                0.89139,                0.96652,                0.97267,                0.98657,                0.89757,                0.68656,                0.41822,                0.85792,                0.00133,                0.00133,                0.00133
                      9,                0.76918,                0.45027,                0.88873,                0.95452,                0.97651,                0.98719,                0.89475,                0.66543,                0.40724,                 0.8561,              0.0013158,              0.0013158,              0.0013158
                     10,                0.75985,                0.44051,                0.88662,                0.96674,                0.97764,                0.98775,                0.90017,                0.65849,                0.39759,                0.85501,              0.0013017,              0.0013017,              0.0013017
                     11,                0.74302,                0.42955,                 0.8811,                0.96332,                0.97454,                0.98744,                0.90697,                0.64059,                 0.3934,                0.85036,              0.0012875,              0.0012875,              0.0012875
                     12,                0.73915,                0.43011,                0.88026,                 0.9537,                0.97688,                0.98778,                0.90345,                0.66248,                0.40135,                0.85095,              0.0012734,              0.0012734,              0.0012734
                     13,                0.72508,                0.41687,                0.87753,                  0.969,                0.98022,                0.98867,                0.90899,                0.61894,                0.37412,                 0.8469,              0.0012592,              0.0012592,              0.0012592
                     14,                0.71777,                0.41341,                0.87446,                0.95499,                0.97872,                0.98877,                0.90851,                0.61666,                0.37858,                0.84632,              0.0012451,              0.0012451,              0.0012451
                     15,                0.71068,                0.40761,                0.87256,                0.96838,                0.97804,                0.98951,                 0.9136,                0.60614,                 0.3648,                 0.8453,              0.0012309,              0.0012309,              0.0012309
                     16,                0.69789,                0.40179,                0.87108,                  0.965,                0.97949,                0.98896,                0.91265,                0.60964,                0.37426,                0.84686,              0.0012168,              0.0012168,              0.0012168
                     17,                0.69683,                 0.4001,                0.87143,                0.96776,                0.98131,                0.98933,                0.91585,                0.59112,                0.35571,                0.84434,              0.0012026,              0.0012026,              0.0012026
                     18,                0.68417,                0.39335,                0.86822,                0.96579,                0.98001,                0.98924,                0.91314,                0.59326,                 0.3585,                0.84428,              0.0011885,              0.0011885,              0.0011885
                     19,                0.67978,                0.39268,                0.86833,                0.96446,                0.98433,                0.98896,                0.91222,                0.59684,                0.36024,                0.84127,              0.0011744,              0.0011744,              0.0011744
                     20,                0.67338,                0.38909,                 0.8666,                0.96863,                0.98194,                0.99023,                0.91352,                0.58543,                0.35282,                0.84028,              0.0011602,              0.0011602,              0.0011602
                     21,                0.66207,                0.38125,                 0.8623,                 0.9708,                0.98388,                0.99015,                0.91811,                0.58355,                0.34742,                0.84208,              0.0011461,              0.0011461,              0.0011461
                     22,                0.65905,                0.38127,                0.86394,                0.97019,                0.98326,                0.98918,                0.91199,                0.59799,                0.35259,                0.84693,              0.0011319,              0.0011319,              0.0011319
                     23,                0.65961,                0.38144,                0.86286,                0.96923,                0.98259,                0.98959,                0.91469,                0.58231,                0.35009,                0.84272,              0.0011178,              0.0011178,              0.0011178
                     24,                0.64956,                0.37712,                0.86169,                0.96622,                0.98162,                0.98938,                 0.9177,                0.57693,                0.35387,                 0.8405,              0.0011036,              0.0011036,              0.0011036
                     25,                0.63831,                0.37256,                0.85837,                0.97133,                0.97804,                0.99004,                0.91802,                0.56271,                0.34317,                0.84044,              0.0010895,              0.0010895,              0.0010895
                     26,                0.63818,                0.37109,                0.85782,                0.96922,                0.98329,                0.99003,                0.92047,                0.56278,                 0.3366,                0.84051,              0.0010753,              0.0010753,              0.0010753
                     27,                0.62779,                0.36321,                0.85557,                0.97392,                0.98062,                0.98968,                0.91995,                  0.583,                0.34538,                0.84039,              0.0010612,              0.0010612,              0.0010612
                     28,                0.61979,                0.36052,                0.85429,                0.97032,                0.98113,                0.98954,                0.91983,                0.55471,                0.33629,                 0.8378,               0.001047,               0.001047,               0.001047
                     29,                0.61558,                 0.3575,                0.85349,                0.97213,                 0.9833,                0.99036,                0.92274,                0.55575,                0.33892,                0.83772,              0.0010329,              0.0010329,              0.0010329
                     30,                0.61891,                0.35924,                0.85444,                0.97165,                  0.983,                0.98994,                0.92234,                0.55992,                0.33739,                0.83833,              0.0010187,              0.0010187,              0.0010187
                     31,                0.61007,                0.35527,                0.85281,                0.97465,                0.97882,                0.98983,                0.92406,                0.55037,                0.33262,                 0.8376,              0.0010046,              0.0010046,              0.0010046
                     32,                0.60569,                0.35318,                0.85109,                 0.9681,                0.98071,                0.98993,                0.92261,                0.54941,                0.33291,                0.83728,             0.00099044,             0.00099044,             0.00099044
                     33,                0.59523,                0.34644,                0.84872,                0.97409,                0.98333,                 0.9905,                0.92579,                0.53936,                0.32136,                0.83471,             0.00097629,             0.00097629,             0.00097629
                     34,                0.58989,                0.34416,                0.84811,                0.97311,                0.98354,                0.99032,                0.92422,                0.53743,                0.32509,                0.83471,             0.00096215,             0.00096215,             0.00096215
                     35,                0.58594,                 0.3414,                0.84672,                0.97339,                0.98283,                0.99016,                0.92676,                0.52707,                0.32106,                0.83279,               0.000948,               0.000948,               0.000948
                     36,                0.58021,                0.33826,                0.84606,                0.97591,                0.98285,                0.99039,                0.92646,                0.52189,                0.31275,                0.83424,             0.00093385,             0.00093385,             0.00093385
                     37,                0.58036,                 0.3374,                0.84555,                0.97277,                0.98149,                0.99056,                0.92738,                0.52713,                0.31716,                0.83315,              0.0009197,              0.0009197,              0.0009197
                     38,                0.57501,                0.33639,                0.84458,                0.97376,                 0.9828,                0.99034,                0.92665,                0.52786,                0.31529,                0.83398,             0.00090556,             0.00090556,             0.00090556
                     39,                0.57157,                0.33373,                0.84325,                0.97287,                 0.9813,                0.99042,                0.92693,                0.52156,                0.30964,                0.83458,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.5707,                0.33236,                0.84295,                0.97242,                 0.9825,                0.99063,                 0.9285,                0.52617,                0.31291,                0.83439,             0.00087726,             0.00087726,             0.00087726
                     41,                0.56714,                0.33128,                0.84275,                0.97406,                0.98374,                0.99043,                0.92839,                0.52121,                0.31127,                0.83519,             0.00086312,             0.00086312,             0.00086312
                     42,                 0.5564,                0.32544,                0.84081,                0.97469,                 0.9834,                0.99088,                0.92845,                0.51895,                0.30893,                0.83521,             0.00084897,             0.00084897,             0.00084897
                     43,                0.55819,                0.32559,                0.84143,                0.97643,                0.98225,                0.99079,                   0.93,                0.50759,                0.30315,                0.83187,             0.00083482,             0.00083482,             0.00083482
                     44,                0.55633,                0.32482,                0.84014,                0.97701,                0.98455,                0.99028,                0.92985,                0.50912,                0.30194,                 0.8332,             0.00082067,             0.00082067,             0.00082067
                     45,                0.55122,                0.32253,                0.84077,                0.97551,                 0.9858,                0.99076,                0.93165,                 0.5082,                0.30352,                0.83157,             0.00080653,             0.00080653,             0.00080653
                     46,                0.54901,                0.32138,                0.83873,                0.97731,                0.98209,                0.99039,                0.92995,                0.50393,                 0.3016,                0.83069,             0.00079238,             0.00079238,             0.00079238
                     47,                 0.5443,                0.31977,                0.83789,                0.97379,                0.98313,                0.99036,                0.93134,                0.50222,                0.30238,                0.83233,             0.00077823,             0.00077823,             0.00077823
                     48,                0.53538,                0.31436,                0.83671,                0.97787,                0.98096,                0.99041,                 0.9313,                0.50003,                 0.2964,                0.83091,             0.00076409,             0.00076409,             0.00076409
