                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3496,                 3.6929,                 1.3169,                0.03811,                0.27485,                0.21502,                0.16871,                 2.0895,                 3.8445,                 1.1521,             0.00018577,             0.00018577,             0.00018577
                      2,                 2.1368,                 2.3516,                 1.1057,                0.99262,                0.26453,                 0.4534,                0.30741,                 1.8804,                 3.0945,                 1.0831,             0.00038201,             0.00038201,             0.00038201
                      3,                 1.8269,                 1.3599,                 1.0392,                0.85819,                0.58477,                 0.7599,                0.51523,                 1.7013,                 2.0378,                 1.0054,             0.00057429,             0.00057429,             0.00057429
                      4,                 1.7325,                 1.1956,                 1.0104,                0.75845,                0.70451,                0.74794,                0.55745,                 1.7582,                  1.514,                0.98564,             0.00076261,             0.00076261,             0.00076261
                      5,                 1.6684,                 1.1677,                 1.0069,                0.78628,                0.68694,                0.74471,                0.54105,                 1.6875,                 1.2904,                 1.0062,             0.00094696,             0.00094696,             0.00094696
                      6,                 1.6115,                 1.1037,                 1.0009,                0.77207,                0.74956,                0.80139,                 0.5912,                 1.5634,                 1.1884,                0.98455,              0.0011274,              0.0011274,              0.0011274
                      7,                 1.5893,                 1.0734,                0.98555,                0.78576,                0.79726,                0.83788,                0.62592,                 1.5829,                 1.1374,                0.98041,              0.0013038,              0.0013038,              0.0013038
                      8,                 1.6281,                 1.0129,                0.97454,                0.84437,                0.81879,                 0.8641,                0.64613,                 1.5015,                 1.0065,                 0.9634,                0.00133,                0.00133,                0.00133
                      9,                 1.5745,                 1.0073,                0.96864,                0.84458,                0.84818,                0.87645,                0.65889,                 1.5838,                 1.0408,                0.97199,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.5866,                0.98646,                0.97386,                0.81449,                0.84183,                0.88686,                0.68025,                 1.4159,                0.95548,                0.95505,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.5277,                0.95523,                0.96096,                0.83887,                0.85343,                0.89869,                0.65823,                 1.4526,                0.95117,                0.95386,              0.0012875,              0.0012875,              0.0012875
